index,product_id,customer_id,product_name,Event_Date,Event
2112112,1,2726055,  سائل غسيل للملابس طبيعي عدد 2 عبوة بحجم 1.8 لتر,2023-03-28 02:03:31+00:00,purchased
12110444,2,8307875,عطر 002,2023-02-07 23:23:49+00:00,cart
8908469,3,14308668,ريجليز بوبا بوبا شريط لبان علكة بنكهة الفراولة 56 جم,2023-03-16 20:37:03+00:00,cart
40921,4,13235575,ساعة يد رجالية M34-2,2023-02-22 17:27:47+00:00,cart
14635759,5,1652827,فوط تنظيف ميكروفايبر ريكسو - 6 حبات,2023-02-28 19:05:40+00:00,cart
14377734,6,9872458,عباية كلاسيك مطرزه بالسدو الاسود (سدو 47) - طلب مسبق,2022-12-21 21:01:22+00:00,cart
8712414,7,14462533,جهاز العاب فيديو رقمي مع ازرار التحكم اللاسلكية (64G),2023-03-14 00:01:40+00:00,cart
14366408,8,193403,تشقير حواجب بدون رتوش,2023-02-01 21:49:25+00:00,cart
7963308,9,8043963,الصابون المغربي البلدي بزيت الارغان من جاردن اوليان - 500 جم,2023-02-06 20:18:09+00:00,cart
14036289,10,876328,عطر 010,2023-02-10 22:41:37+00:00,cart
1195248,11,10122421,مسكره حواجب شفافه ناي دريم,2023-03-30 06:12:08+00:00,cart
5951196,12,13197905,اقراص قطنية نقية للتجميل جونسون,2023-03-04 00:05:12+00:00,cart
30391004,13,13672165,وكس مساج تدليك العضلات اللاسلكي مع 6 سرعات و 8 رؤوس، اخضر مع اسود,2022-12-17 17:31:31+00:00,cart
8251381,14,2341424,لباد الغيمة 200×200 ارتفاع 12 سم,2023-01-27 00:34:22+00:00,cart
25391450,15,12756607,عباية كلوش بقماش ناعم على خطوط طولية,2022-12-30 02:08:17+00:00,purchased
7434446,16,384743,كبسولات ستاربكس امريكانو هاوس بلند,2022-12-07 02:02:27+00:00,cart
25141580,17,3738698,دارك شوكولاتة بشذرات الكافي بدون سكر مضاف 75 جرام,2023-01-16 18:30:40+00:00,purchased
16573385,18,6519071,في ستين داهية,2023-03-27 19:58:04+00:00,cart
3453937,19,13853357,Stickers - Among us,2023-03-08 20:32:12+00:00,cart
9877890,20,8673066,ساعة بلقيس النسائيه باللون الفضي,2023-03-26 17:16:05+00:00,cart
18812126,21,8423267,بكج رفع فيديو اكسبلور تيك توك,2022-12-23 18:22:08+00:00,purchased
3781101,22,3553523,عرض هيل أخضر أمريكي جامبو فاخر رقم 1 (كرتون 5 كيلو) بخصم 40% + شحن مجاني,2023-02-10 02:38:08+00:00,purchased
11524100,23,9458594,صحن بلاستيك مستطيل رقم 1/2 (50 حبة),2023-02-09 17:46:34+00:00,purchased
